RT    Trial   Shock   Delay   block   code    session 

 0.6166    1  0  2.5  0  0  0	
 2.0001    0  1  1.5  0  0  0	
 0.3529    1  1  2  0  0  0	
 0.3688    1  0  2  0  0  0	
 2.0000    0  0  2.5  0  0  0	
 2.0001    1  1  1.5  0  0  0	
 2.0001    1  0  2  0  0  0	
 2.0000    1  1  2.5  0  0  0	
 2.0000    1  0  2.5  1  0  0	
 2.0000    1  1  2.5  1  0  0	
 2.0001    0  1  2  1  0  0	
 2.0007    1  0  2  1  0  0	
