RT,Trial,Shock,Delay,Block,PCode,Session,Outcome
0.453722000000198,0.0,0.0,1.5,1.0,3.0,0.0,0.0
0.5668785999996544,1.0,0.0,1.5,1.0,3.0,0.0,0.0
0.560327099999995,1.0,0.0,2.0,1.0,3.0,0.0,0.0
0.4563949999992474,1.0,0.0,1.5,1.0,3.0,0.0,1.0
0.5040758000004644,0.0,1.0,2.0,1.0,3.0,0.0,0.0
0.3574676999996882,1.0,1.0,2.5,1.0,3.0,0.0,1.0
0.377414100000351,1.0,1.0,2.5,1.0,3.0,0.0,1.0
0.7287553000005573,1.0,1.0,2.0,1.0,3.0,0.0,0.0
1.1982379000000947,1.0,1.0,2.5,0.0,3.0,0.0,0.0
0.5096340000000055,1.0,0.0,1.5,0.0,3.0,0.0,0.0
0.42179829999986396,1.0,0.0,2.0,0.0,3.0,0.0,1.0
0.6430926000002728,1.0,1.0,1.5,0.0,3.0,0.0,0.0
2.0000102999993032,0.0,0.0,2.0,0.0,3.0,0.0,1.0
2.0000152000002345,1.0,1.0,1.5,0.0,3.0,0.0,0.0
2.0000060000002122,0.0,0.0,1.5,0.0,3.0,0.0,1.0
2.000102699999843,1.0,1.0,2.5,0.0,3.0,0.0,0.0
